city,area,industry,name,phone,rating,review_count,address
Fort Lauderdale,Tamarac FL,Electricians,Full Service Home Electrician,(754) 285-5929,5.0,14,"8040 W McNab Rd, North Lauderdale, FL 33068, USA"
Fort Lauderdale,Wilton Manors FL,Cleaning companies,We Wash Stuff,(917) 499-2103,5.0,13,"9 NE 19th Ct, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Pompano Beach FL,Accountants,Smart Tax,(954) 782-3610,4.7,13,"535 E Sample Rd, Pompano Beach, FL 33064, USA"
Fort Lauderdale,Sunrise FL,Cleaning companies,Exclusively Clean LLC,(754) 800-4253,5.0,13,"7756 NW 44th St Suite B, Sunrise, FL 33351, USA"
Fort Lauderdale,Wilton Manors FL,Accountants,Capital Associates,(954) 368-3361,3.7,12,"Wilton Manors, FL 33334, USA"
Fort Lauderdale,Wilton Manors FL,HVAC companies,Broward County Heating & Air Conditioning,(954) 329-2852,4.6,11,"2045 Wilton Dr, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Plantation FL,Remodelers,"Garcia Flood, Fire & Roof Restore",(754) 290-2800,4.7,11,"110 Jacaranda Country Club Dr #102, Plantation, FL 33324, USA"
Fort Lauderdale,Hallandale Beach FL,Landscapers,Mr Hicks Landscaping LLC,(754) 816-0191,4.6,11,"753 NW 4th St, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Hallandale Beach FL,HVAC companies,Hallandale Beach HVAC Solutions: Heating & Air Conditioning,(754) 764-1563,5.0,11,"940 W Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,HVAC companies,Fort Lauderdale Heating And Air Conditioning,(754) 315-4340,5.0,10,"1014 NW 10th Ave, Fort Lauderdale, FL 33311, USA"
Fort Lauderdale,Davie FL,Accountants,Shum Danny CPA,(954) 252-5778,5.0,10,"5220 S University Dr STE 207, Davie, FL 33328, USA"
Fort Lauderdale,Tamarac FL,Plumbers,Winder Plumber Tamarac,(754) 341-6021,5.0,10,"7421 N University Dr, Tamarac, FL 33321, USA"
Fort Lauderdale,Hallandale Beach FL,Accountants,Mad Accounting and Taxes LLC,(786) 704-4244,5.0,10,"1001 N Federal Hwy #305, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Remodelers,RS Remodeling Services LLC,(954) 444-1974,4.6,9,"3901 W Broward Blvd #121236, Fort Lauderdale, FL 33312, USA"
Fort Lauderdale,Wilton Manors FL,Remodelers,Wilton Manors Handymen,(954) 302-1913,4.6,9,"2625 NW 5th Ave, Wilton Manors, FL 33311, USA"
Fort Lauderdale,Coral Ridge Fort Lauderdale FL,Landscapers,Surfside Tree & Landscape Inc,(954) 605-4108,3.7,9,"2700 NE 27th Ave, Fort Lauderdale, FL 33306, USA"
Fort Lauderdale,Pompano Beach FL,Pest control,Pest Control Pompano Beach,(561) 270-4994,5.0,9,"861 S Cypress Rd, Pompano Beach, FL 33060, USA"
Fort Lauderdale,Deerfield Beach FL,Landscapers,JJ's Lawncare & Landscaping,(754) 779-2837,4.1,9,"340 SW 1st Terrace, Deerfield Beach, FL 33441, USA"
Fort Lauderdale,Sunrise FL,Remodelers,"Riol Construction, LLC",(786) 371-8931,5.0,9,"11650 NW 40th Pl, Sunrise, FL 33323, USA"
Fort Lauderdale,Deerfield Beach FL,Electricians,H&K Electrical Inc.,(561) 377-5955,5.0,7,"1717 SW 1st Way, Deerfield Beach, FL 33441, USA"
Fort Lauderdale,Tamarac FL,Cleaning companies,Maggy's Cleaning Services,(954) 822-4116,4.9,7,"4179 Lakeside Dr, Tamarac, FL 33319, USA"
Fort Lauderdale,Wilton Manors FL,Remodelers,Wilton Manors Drywall Experts,(786) 220-6992,5.0,6,"2266 Wilton Dr, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Lauderdale-by-the-Sea FL,Remodelers,VIP Bathroom Remodeling & Restoration,(786) 785-6814,5.0,6,"12 Hibiscus Ave, Lauderdale-By-The-Sea, FL 33308, USA"
Fort Lauderdale,Plantation FL,Remodelers,Sue Construction LLC,(954) 993-2823,5.0,6,"7656 NW 5th St, Plantation, FL 33324, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Pool service companies,Las Olas Pools LLC,(561) 670-8319,5.0,5,"119 Elysium Dr, Royal Palm Beach, FL 33411, USA"
Fort Lauderdale,Wilton Manors FL,Electricians,Main-Guy Electric Co,(954) 564-1672,5.0,5,"889 NE 30th St, Oakland Park, FL 33334, USA"
Fort Lauderdale,Plantation FL,Cleaning companies,ROAD RUNNER HOME CLEANING-SERVICES LLC,(561) 922-5862,5.0,5,"1362 NW 80th Terrace, Plantation, FL 33322, USA"
Fort Lauderdale,Pompano Beach FL,Landscapers,Greenleaf landscaping inc,(754) 304-7804,5.0,5,"2681 NE 12th Terrace, Pompano Beach, FL 33064, USA"
Fort Lauderdale,Hallandale Beach FL,HVAC companies,Blue Air Conditioning Hallandale,(754) 327-7826,5.0,5,"800 SE 4th Ave Ste.183, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Roofers,SummitPoint Roofing Co,(954) 250-2660,5.0,4,"200 S Andrews Ave, Fort Lauderdale, FL 33301, USA"
Fort Lauderdale,Victoria Park Fort Lauderdale FL,Electricians,Edison Electricians of Fort Lauderdale,(888) 675-0975,4.3,4,"1110 NE 8th Ave Ste 103, Fort Lauderdale, FL 33304, USA"
Fort Lauderdale,Wilton Manors FL,Accountants,Elevate Tax & Bookkeeping,(312) 487-6786,5.0,4,"3333 N Federal Hwy, Oakland Park, FL 33306, USA"
Fort Lauderdale,Wilton Manors FL,Remodelers,A & A Construction Co Inc,(954) 914-9780,3.8,4,"423 NE 26th St, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Wilton Manors FL,Remodelers,Asi Southern Construction Services,(954) 675-7396,5.0,4,"2201 Wilton Dr suite 10, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Plantation FL,Cleaning companies,Up Maids Cleaning Services,(954) 908-6498,4.0,4,"498 Westree Ln, Plantation, FL 33324, USA"
Fort Lauderdale,Plantation FL,HVAC companies,Plantation HVAC Cooling Service,(754) 242-7878,5.0,4,"1461 S University Dr, Plantation, FL 33324, USA"
Fort Lauderdale,Coral Springs FL,HVAC companies,Coral Springs HVAC Cooling Service,(945) 219-3025,5.0,4,"2359 N University Dr, Coral Springs, FL 33065, USA"
Fort Lauderdale,Tamarac FL,Remodelers,Best In Class Remodeling & Restoration,(954) 280-6694,4.0,4,"12 NW 85th Ct, Tamarac, FL 33321, USA"
Fort Lauderdale,Hallandale Beach FL,Landscapers,Edwards Landscaping LLC,(754) 207-9400,5.0,4,"402 NW 5th Ave, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Cleaning companies,Renovapure Post-Construction Cleaning Ft Lauderdale,(954) 287-3377,5.0,3,"223 S Federal Hwy, Fort Lauderdale, FL 33301, USA"
Fort Lauderdale,Wilton Manors FL,Accountants,Ewart James S CPA,(954) 563-3299,5.0,3,"1881 NE 26th St #228, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Cypress Creek Fort Lauderdale FL,Accountants,Giulio Staiano CPA,(954) 977-0900,5.0,3,"2953 W Cypress Creek Rd STE 101, Fort Lauderdale, FL 33309, USA"
Fort Lauderdale,Coral Springs FL,HVAC companies,Coral Springs HVAC Services,(954) 639-4909,5.0,3,"9877 Westview Dr APT 637, Coral Springs, FL 33076, USA"
Fort Lauderdale,Deerfield Beach FL,Plumbers,Deerfield Plumbing & Repipe,(754) 345-0967,5.0,3,"3313 W Hillsboro Blvd, Deerfield Beach, FL 33442, USA"
Fort Lauderdale,Hallandale Beach FL,Plumbers,Moore Plumbing | Plumbing Hallandale fl,(877) 317-9548,4.7,3,"1250 E Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Hallandale Beach FL,Pest control,PestPrevent Pros,(754) 315-2363,5.0,3,"103 SW 10th Terrace, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Wilton Manors FL,Accountants,Marc Labossiere PA,(954) 763-4214,5.0,2,"2637 N Andrews Ave, Wilton Manors, FL 33311, USA"
Fort Lauderdale,Wilton Manors FL,Pest control,Pest Control Fort Lauderdale,(754) 704-6486,5.0,2,"1492 NW 19th St, Fort Lauderdale, FL 33311, USA"
Fort Lauderdale,Plantation FL,Pool service companies,Pool Service Florida,(954) 702-8847,5.0,2,"428 nw 70 th ave, suite 137, Plantation, FL 33313, USA"
Fort Lauderdale,Plantation FL,Roofers,Roofing Company Davie,(754) 328-5911,5.0,2,"3325 S University Dr Ste.149, Davie, FL 33328, USA"
Fort Lauderdale,Plantation FL,HVAC companies,Plantation AC Services,(954) 376-7427,5.0,2,"6901 W Broward Blvd b7, Plantation, FL 33317, USA"
Fort Lauderdale,Sunrise FL,Cleaning companies,Palmer's Elite Cleaning Services,(786) 734-0126,5.0,2,"Grande St, Sunrise, FL 33351, USA"
Fort Lauderdale,Sunrise FL,Roofers,United Roofing Sunrise,(754) 353-0155,5.0,2,"3801 N University Dr Ste.130, Sunrise, FL 33351, USA"
Fort Lauderdale,Tamarac FL,Cleaning companies,"Sparkling Kleen, LLC",(786) 512-6530,5.0,2,"8290 NW 68th Ave, Tamarac, FL 33321, USA"
Fort Lauderdale,Hallandale Beach FL,HVAC companies,Cool Flow AC,(954) 874-5179,5.0,2,"1985 S Ocean Dr Ste GL-3, Hallandale Beach, FL 33009, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Electricians,Bautista Electric,(305) 494-6262,5.0,1,"1314 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA"
Fort Lauderdale,Las Olas Fort Lauderdale FL,Electricians,Charging Florida,(866) 378-2115,5.0,1,"300 SE 2nd St suite 600, Fort Lauderdale, FL 33301, USA"
Fort Lauderdale,Wilton Manors FL,Plumbers,Roberts & Sons Plumbing Inc,(954) 741-3033,5.0,1,"2246 NE 11th Ave, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Cypress Creek Fort Lauderdale FL,Accountants,Accounting Department-The Southeast,(954) 306-2018,5.0,1,"1500 W Cypress Creek Rd # 107, Fort Lauderdale, FL 33309, USA"
Fort Lauderdale,Lauderdale-by-the-Sea FL,Accountants,Bryan & Associates PA,(954) 772-7655,5.0,1,"221 Commercial Blvd, Lauderdale-By-The-Sea, FL 33308, USA"
Fort Lauderdale,Plantation FL,Cleaning companies,Eco team Cleaning LLC,(954) 598-2854,5.0,1,"7648 NW 5th St, Plantation, FL 33324, USA"
Fort Lauderdale,Plantation FL,Roofers,Pros Roofing Plantation,(754) 328-5909,5.0,1,"1727 N University Dr #111, Plantation, FL 33322, USA"
Fort Lauderdale,Deerfield Beach FL,Landscapers,Schulz Landscape Services,(954) 596-0600,5.0,1,"10 Helwig Terrace, Pompano Beach, FL 33064, USA"
Fort Lauderdale,Sunrise FL,Remodelers,MVC Millwork and Remodeling,(954) 909-6793,5.0,1,"2494 NW 85th Ave, Sunrise, FL 33322, USA"
Fort Lauderdale,Tamarac FL,Roofers,Tops Roofing Tamarac,(754) 353-0157,5.0,1,"7421 N University Dr Unit 137, Tamarac, FL 33321, USA"
Fort Lauderdale,Wilton Manors FL,Accountants,AA Accounting and Tax Company,(954) 763-4214,,0,"2637 N Andrews Ave, Wilton Manors, FL 33311, USA"
Fort Lauderdale,Wilton Manors FL,Remodelers,Unparalleled Peerless Remodeling,(754) 310-6482,,0,"2331 FL-811, Wilton Manors, FL 33305, USA"
Fort Lauderdale,Cypress Creek Fort Lauderdale FL,Electricians,Electrician near me LLC,(954) 866-8887,,0,"315 NE 3rd Ave Unit 103 suite 13, Fort Lauderdale, FL 33301, USA"
Fort Lauderdale,Plantation FL,Remodelers,Superior Top Remodeling,(754) 289-9982,,0,"1710 FL-817, Plantation, FL 33322, USA"
Jacksonville,Neptune Beach FL,Plumbers,Plumb-Pal Plumbing,(904) 300-2384,5.0,253,"1310 Pinewood Rd, Jacksonville Beach, FL 32250, USA"
Jacksonville,Riverside Jacksonville FL,Accountants,The Tax Office,(904) 577-0086,5.0,139,"6817 Southpoint Pkwy Ste 1601, Jacksonville, FL 32216, USA"
Jacksonville,Mandarin Jacksonville FL,Plumbers,ROOTER EXPRESS OF JAX LLC,(904) 909-1763,5.0,132,"11648 Pine Acres Rd, Jacksonville, FL 32223, USA"
Jacksonville,Mandarin Jacksonville FL,Landscapers,Millers Irrigation Services LLC,(904) 236-7976,5.0,113,"12748 Fernbank Ln, Jacksonville, FL 32223, USA"
Jacksonville,Arlington Jacksonville FL,Accountants,Arlington Tax Services,(904) 379-2165,5.0,90,"1551 Cesery Blvd, Jacksonville, FL 32211, USA"
Jacksonville,Fleming Island FL,Plumbers,Harry H Hill Plumbing Inc,(904) 389-1909,5.0,74,"12 Widener Way, Orange Park, FL 32073, USA"
Jacksonville,Springfield Jacksonville FL,Roofers,"Alton Roofing Services, LLC",(904) 235-5224,4.7,69,"5352 Hwy Ave, Jacksonville, FL 32254, USA"
Jacksonville,Neptune Beach FL,Landscapers,"GPE Groundskeeping, Inc",(904) 536-0907,4.9,64,"14245 Drakes Point Dr, Jacksonville, FL 32224, USA"
Jacksonville,Neptune Beach FL,Plumbers,Tom Plumb,(904) 386-9853,5.0,62,"1100 Seagate Ave, Neptune Beach, FL 32266, USA"
Jacksonville,Mandarin Jacksonville FL,Landscapers,Jungle Life Landscape LLC,(904) 423-6024,4.6,50,"11547 Sedgemoore Dr E, Jacksonville, FL 32223, USA"
Jacksonville,Riverside Jacksonville FL,Landscapers,Heroic Landscapes,(904) 303-6819,5.0,47,"718 Monte Carlo Rd, Jacksonville, FL 32216, USA"
Jacksonville,St. Johns Town Center Jacksonville FL,Plumbers,Stevenson plumbing,(904) 762-6830,5.0,38,"6834 Brandemere Rd S, Jacksonville, FL 32211, USA"
Jacksonville,Ortega Jacksonville FL,HVAC companies,Jacksonville Air Conditioning & Heating,(904) 590-5225,5.0,34,"77HG+3C, Jacksonville, FL 32210, USA"
