name,address,phone,website,has_website,rating,total_reviews,place_id,ssl,load_time_s,mobile_responsive,copyright_year,has_contact,technical_score,visual_score,combined_score,needs_revamp,issues,ai_summary,screenshot,error
Family Dental Care - William Nicol (Invisalign Provider),"Pick n Pay on Nicol Shopping Centre, Shop 07 Corner of William Nicol Drive and Republic Road in, Hurlingham, Sandton, 2070, South Africa",010 065 0688,http://www.familydentalcare.co.za/,Yes,5,385,ChIJbQFjA_ZzlR4RaJ1OKevWIDs,No,3.32,Yes,2024,Yes,8,7,7.5,No,No SSL (site shows as 'Not Secure' to visitors),The website has a clean layout but the header feels a bit crowded with too much information.,screenshots/familydentalcare.co.za.png,
Dr Bee,"UMED, Medical Suites, 134 Grayston Dr, Sandown, Sandton, 2031, South Africa",060 487 0210,http://www.doctorbee.co.za/,Yes,4.7,85,ChIJyditknd3lR4RMxsFwvUH5OM,No,3.46,Yes,,Yes,7,8,7.5,No,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),The website has a clean and modern design with professional imagery.,screenshots/doctorbee.co.za.png,
Dr M Cassim Practice,"Corner Rivonia & 5th Streets ., 140 Medical Mews, Sandton City Shopping Centre,, Sandhurst, Sandton, 2196, South Africa",011 883 3005,https://www.drmcassim.co.za/,Yes,4.6,19,ChIJObDkmTJzlR4RM9Xpem7jQws,Yes,0.92,Yes,,Yes,9,6,7.5,Yes,Missing SEO meta tags (title/description),The design has a somewhat outdated aesthetic with a need for more modern visuals and typography.,screenshots/drmcassim.co.za.png,
Betta Smile Teeth Whitening,"204 Oxford Rd, Illovo, Sandton, 2196, South Africa",083 378 3392,https://bettasmile.co.za/,Yes,4.6,205,ChIJYWiLBKUMlR4R8EmxB4GZFHU,Yes,2.43,Yes,,Yes,10,6,8.0,Yes,,The website has a clean but slightly outdated design with large text and basic layout.,screenshots/bettasmile.co.za.png,
Melrose Dental Studio,"Medical Suites, Level 1, Blu Bird Shopping Centre Cnr Atholl Oaklands rd and, Park Rd, Birnam, Johannesburg, 2196, South Africa",011 440 7836,http://www.melrosedental.co.za/,Yes,4.8,114,ChIJ9RZg4R8NlR4R9e6hAQIxx4s,No,2.05,Yes,2024,Yes,8,8,8.0,No,No SSL (site shows as 'Not Secure' to visitors),The website has a modern and clean aesthetic with clear layout and professional appeal.,screenshots/melrosedental.co.za.png,
Sky Dental Clinic Sandton by Dr Andrew Sidelsky,"3, Building, Rivonia Office Park, 150 Rivonia Rd, Sandown, Sandton, 2196, South Africa",010 900 5148,https://www.skydental.co.za/,Yes,5,31,ChIJ2WnOWNZzlR4RYrWxpPNaEr0,Yes,4.35,Yes,,Yes,9,8,8.5,No,Missing SEO meta tags (title/description),"The design is modern and clean, but could use more color for vibrancy.",screenshots/skydental.co.za.png,
Sculpt Dentistry Sandton Dentist,"158 Coleraine Dr, Morningside, Sandton, 2057, South Africa",011 463 1151,https://www.sculptdentistry.com/,Yes,5,20,ChIJDTlqKKlzlR4R-8NqIS_j7b8,Yes,1.08,Yes,2023,Yes,9,8,8.5,No,Copyright year 2023 — possibly outdated,The modern and clean design effectively creates a professional and trustworthy impression.,screenshots/sculptdentistry.com.png,
Thinc Sandton (The Thinc Clinic),"11 Selby Rd, Rosebank, Johannesburg, 2193, South Africa",011 788 2701,https://thincsandton.co.za/,Yes,5,363,ChIJXSS9Bi9zlR4Rwjjyq-zl3EY,Yes,3.19,Yes,,Yes,10,8,9.0,No,,Modern design with clear layout and professional aesthetic.,screenshots/thincsandton.co.za.png,
Dr Jack Shih (Dentist),"Suite 114 Medical Mews Sandton City Mall Sandton, Sandhurst, Sandton, 2196, South Africa",011 784 9260,https://drjackshih.co.za/,Yes,5,138,ChIJNbdCLl5zlR4RxZ4Hq1-wIlA,Yes,3.33,Yes,,Yes,10,8,9.0,No,,The website has a modern and clean design with a professional layout that inspires trust.,screenshots/drjackshih.co.za.png,
Family Dental Care - Sandton,"block b, 66 Rivonia Rd, Chislehurston, Sandton, 2196, South Africa",010 226 9335,https://www.familydentalcare.co.za/,Yes,5,9,ChIJRdmFAAINlR4R_beN7YO0IrM,Yes,2.64,Yes,2024,Yes,10,8,9.0,No,,The website has a modern and clean aesthetic with clear and professional layout.,screenshots/familydentalcare.co.za.png,
